id,jcn,seccode,edinetcode,name_jp,name_eng
1,4110001013829,9842,E02706,アークランドサカモト,"ARCLAND SAKAMOTO CO.,LTD."
2,7120001006861,3333,E03439,あさひ,"ASAHI CO.,LTD."
3,6030001004272,8227,E03137,しまむら,"SHIMAMURA CO., Ltd."
4,5430001012905,9843,E03144,ニトリホールディングス,"Nitori Holdings Co., Ltd."
5,3020001035263,,E03100,さが美,"SAGAMI Co.,Ltd."
6,6140001060486,7545,E03287,西松屋チェーン,"NISHIMATSUYA CHAIN Co., Ltd."
7,7120901009526,6279,E01677,瑞光,ZUIKO CORPORATION
8,2170001002092,8217,E03119,オークワ,"OKUWA CO., LTD."
9,5040001000461,8905,E04002,イオンモール,"AEON Mall Co.,Ltd."
10,8190001010492,8171,E03122,マックスバリュ中部,"MAXVALU CHUBU CO.,LTD."
11,5011401003916,8166,E03093,タカキュー,"Taka-Q Co., Ltd."
12,1430001020267,7465,E03250,マックスバリュ北海道,"MAXVALU HOKKAIDO Co., Ltd."
13,1180001004741,2686,E03370,ジーフット,"GFOOT CO.,LTD."
14,3160001008726,8276,E03081,平和堂,"HEIWADO CO.,LTD."
15,4180001086075,2778,E03415,パレモホールディングス,"PALEMO HOLDINGS CO.,LTD."
16,3420001005928,7450,E03245,サンデー,"SUNDAY CO.,LTD."
17,9500001003505,8278,E03118,フジ,"FUJI CO.,LTD."
18,7190001012102,2294,E03283,柿安本店,"Kakiyasu Honten Co., Ltd."
19,2190001001175,3353,E03443,メディカル一光グループ,"Medical Ikkou Group Co.,Ltd."
20,2180001086250,,E05507,ＵＣＳ,"UCS CO.,LTD."
21,3140001057907,8287,E03130,マックスバリュ西日本,"MAXVALU NISHINIHON CO.,LTD."
22,3012401007462,,E03302,オリジン東秀,"ORIGIN TOSHU Co.,Ltd."
23,3010701025184,8008,E02621,ヨンドシーホールディングス,YONDOSHI HOLDINGS INC.
24,6220001002182,,E03031,金沢名鉄丸越百貨店,"Kanazawa Meitetsu Marukoshi Department Store Co., Ltd."
25,3070001008818,9976,E03219,セキチュー,"SEKICHU CO., LTD."
26,1011001010440,7448,E03244,ジーンズメイト,JEANS MATE CORPORATION
27,5410001001901,2655,E03348,マックスバリュ東北,"MAXVALU TOHOKU CO.,LTD."
28,4010001030181,9946,E03188,ミニストップ,"MINISTOP  CO.,  LTD."
29,3120001075217,9381,E04369,エーアイテイー,AIT CORPORATION
30,8010001166286,3222,E31159,ユナイテッドスーパーマーケットホールディングス,United Super Markets Holdings Inc.
31,6290001017604,2653,E03349,イオン九州,"AEON KYUSHU CO., LTD."
32,6040001000485,4343,E05264,イオンファンタジー,"AEON Fantasy Co.,LTD."
33,4290001022069,3171,E10657,マックスバリュ九州,"MAXVALU KYUSHU CO.,LTD."
34,8120001020754,2668,E02923,タビオ,Tabio Corporation
35,4010401039731,6734,E02072,ニューテック,"Newtech Co.,Ltd."
36,1430001018377,9948,E03199,アークス,"ARCS COMPANY,LIMITED"
37,8010401089756,3557,E32965,ユナイテッド＆コレクティブ,UNITED&COLLECTIVE CO. LTD.
38,9010001141445,9876,E03163,コックス,"COX CO., LTD."
39,6011501003393,7624,E02903,ＮａＩＴＯ,"Naito & Co.,Ltd."
40,2030001044306,3094,E03523,スーパーバリュー,"SUPER VALUE CO. , LTD"
41,4430001015958,7512,E03268,イオン北海道,Aeon Hokkaido Corporation
42,4040001002054,8168,E03096,ケーヨー,"Keiyo Co., Ltd."
43,4011401004551,,E03073,東武ストア,"TOBU STORE CO.,LTD."
44,6140001069164,2292,E00342,エスフーズ,S Foods Inc.
45,7120001061675,,E00170,ヤマダエスバイエルホーム,"YAMADA SXL HOME CO.,LTD."
46,5310001001011,8200,E03099,リンガーハット,"RINGER HUT CO.,LTD."
47,4080101001290,5271,E01165,トーヨーアサノ,"Toyo Asano Foundation Co.,Ltd."
48,9180301013006,7649,E03344,スギホールディングス,"SUGI HOLDINGS CO.,LTD."
49,6010001034809,9601,E04582,松竹,"Shochiku Co., Ltd."
50,6010901028439,3198,E31029,ＳＦＰホールディングス,"SFP Holdings Co., Ltd."
51,2010001050685,2417,E05433,ツヴァイ,"ZWEI CO., LTD."
52,7010001119831,3141,E21035,ウエルシアホールディングス,"WELCIA HOLDINGS CO.,LTD."
53,4010401060191,3922,E31965,ＰＲＴＩＭＥＳ,"PR TIMES,Inc."
54,6010001128643,2884,E32138,ヨシムラフードホールディングス,Yoshimura Food Holdings K.K.
55,1120001081381,9787,E04874,イオンディライト,"AEON DELIGHT CO., LTD."
56,4140001068093,7427,E02801,エコートレーディング,"ECHO TRADING CO.,LTD."
57,4011301006656,7603,E03313,マックハウス,"MAC HOUSE CO.,LTD."
58,8240001000777,8273,E03068,イズミ,"IZUMI CO., LTD."
59,5013301012443,7453,E03248,良品計画,"RYOHIN KEIKAKU CO., LTD."
60,5180001044387,1712,E05444,ダイセキ環境ソリューション,"Daiseki Eco. Solution Co., Ltd."
61,6140001058951,8257,E03024,山陽百貨店,"Sanyo Department Store Co., Ltd."
62,9370001017691,2789,E03422,カルラ,"Karula Co.,LTD."
63,3010001072274,3935,E32238,エディア,"Edia Co., Ltd."
64,3010001061962,4745,E05067,東京個別指導学院,"Tokyo Individualized Educational Institute,INC."
65,5120001077467,8233,E03013,髙島屋,"Takashimaya Company, Limited"
66,7011601006147,2706,E02463,ブロッコリー,"BROCCOLI Co., Ltd."
67,4100001011503,6432,E01723,竹内製作所,"TAKEUCHI MFG.CO.,LTD."
68,6010001087526,3627,E20385,ＪＮＳホールディングス,JNS HOLDINGS INC.
69,6010401027065,6058,E26428,ベクトル,VECTOR INC.
70,1180001029202,9977,E03220,アオキスーパー,"Aoki Super Co., LTD."
71,6040001003380,8267,E03061,イオン,"AEON  CO.,LTD."
72,2010401008184,3670,E27235,協立情報通信,"Kyoritsu Computer & Communication Co.,Ltd."
73,9010401082371,7829,E03463,サマンサタバサジャパンリミテッド,Samantha Thavasa Japan Limited
74,2290001034974,9945,E03200,プレナス,"PLENUS Co., Ltd."
75,9010801008257,2186,E22049,ソーバル,Sobal Corporation
76,1050001016270,3344,E03444,ワンダーコーポレーション,WonderCorporation
77,8010001087103,3030,E03473,ハブ,"HUB CO.,LTD."
