id,document_uid,current_fiscalyear_startdate,current_fiscalyear_enddate,current_period_enddate,is_consolidated,document_type,company_id,accounting_standard_id,dei_industry_code_id,period_type_id
1,S100A6Z6,2016/2/21,2017/2/20,2017/2/20,1,1,1,1,1,1
2,S100A5F9,2016/2/21,2017/2/20,2017/2/20,0,1,2,1,1,1
3,S100A8JN,2016/2/21,2017/2/20,2017/2/20,1,1,3,1,1,1
4,S100A8US,2016/2/21,2017/2/20,2017/2/20,1,1,4,1,1,1
5,S100A8J8,2016/2/21,2017/2/20,2017/2/20,1,1,5,1,1,1
6,S100A8RQ,2016/2/21,2017/2/20,2017/2/20,0,1,6,1,1,1
7,S100A94T,2016/2/21,2017/2/20,2017/2/20,1,1,7,1,1,1
8,S100A8C7,2016/2/21,2017/2/20,2017/2/20,1,1,8,1,1,1
9,S100A9BC,2016/3/1,2017/2/28,2017/2/28,1,1,9,1,1,1
10,S100A991,2016/3/1,2017/2/28,2017/2/28,1,1,10,1,1,1
11,S100A9FW,2016/3/1,2017/2/28,2017/2/28,0,1,11,1,1,1
12,S100A9FV,2016/3/1,2017/2/28,2017/2/28,0,1,12,1,1,1
13,S100A6B1,2016/3/1,2017/2/28,2017/2/28,0,1,13,1,1,1
14,S100A86I,2016/2/21,2017/2/20,2017/2/20,1,1,14,1,1,1
15,S100A9J9,2016/2/21,2017/2/20,2017/2/20,0,1,15,1,1,1
16,S100A9FX,2016/3/1,2017/2/28,2017/2/28,0,1,16,1,1,1
17,S100A99Q,2016/3/1,2017/2/28,2017/2/28,1,1,17,1,1,1
18,S100A9HS,2016/3/1,2017/2/28,2017/2/28,1,1,18,1,1,1
19,S100A9A8,2016/3/1,2017/2/28,2017/2/28,1,1,19,1,1,1
20,S100A9RF,2016/3/1,2017/2/28,2017/2/28,0,1,20,1,1,1
21,S100A9RA,2016/3/1,2017/2/28,2017/2/28,1,1,21,1,1,1
22,S100A9HA,2016/3/1,2017/2/28,2017/2/28,0,1,22,1,1,1
23,S100A9HL,2016/3/1,2017/2/28,2017/2/28,1,1,23,1,1,1
24,S100A9TL,2016/3/1,2017/2/28,2017/2/28,0,1,24,1,1,1
25,S100A9UB,2016/2/21,2017/2/20,2017/2/20,0,1,25,1,1,1
26,S100A9NM,2016/2/21,2017/2/20,2017/2/20,0,1,26,1,1,1
27,S100A93P,2016/3/1,2017/2/28,2017/2/28,0,1,27,1,1,1
28,S100A9LP,2016/3/1,2017/2/28,2017/2/28,1,1,28,1,1,1
29,S100A8X9,2016/3/1,2017/2/28,2017/2/28,1,1,29,1,1,1
30,S100A9KQ,2016/3/1,2017/2/28,2017/2/28,1,1,30,1,1,1
31,S100A9ZF,2016/3/1,2017/2/28,2017/2/28,0,1,31,1,1,1
32,S100AA01,2016/3/1,2017/2/28,2017/2/28,1,1,32,1,1,1
33,S100AA2K,2016/3/1,2017/2/28,2017/2/28,0,1,33,1,1,1
34,S100AA4T,2016/3/1,2017/2/28,2017/2/28,1,1,34,1,1,1
35,S100A9FZ,2016/3/1,2017/2/28,2017/2/28,0,1,35,1,1,1
36,S100AABK,2016/3/1,2017/2/28,2017/2/28,1,1,36,1,1,1
37,S100AA9I,2016/3/1,2017/2/28,2017/2/28,0,1,37,1,1,1
38,S100AACC,2016/3/1,2017/2/28,2017/2/28,1,1,38,1,1,1
39,S100A9UX,2016/3/1,2017/2/28,2017/2/28,1,1,39,1,1,1
40,S100AAAQ,2016/3/1,2017/2/28,2017/2/28,0,1,40,1,1,1
41,S100AA06,2016/3/1,2017/2/28,2017/2/28,0,1,41,1,1,1
42,S100A9Y8,2016/3/1,2017/2/28,2017/2/28,0,1,42,1,1,1
43,S100AA1O,2016/3/1,2017/2/28,2017/2/28,1,1,43,1,1,1
44,S100AA4G,2016/3/1,2017/2/28,2017/2/28,1,1,44,1,1,1
45,S100AA3W,2016/3/1,2017/2/28,2017/2/28,1,1,45,1,2,1
46,S100AAJK,2016/3/1,2017/2/28,2017/2/28,1,1,46,1,1,1
47,S100AA08,2016/3/1,2017/2/28,2017/2/28,1,1,47,1,1,1
48,S100A9XY,2016/3/1,2017/2/28,2017/2/28,1,1,48,1,1,1
49,S100AAIQ,2016/3/1,2017/2/28,2017/2/28,1,1,49,1,1,1
50,S100AA3Z,2016/3/1,2017/2/28,2017/2/28,1,1,50,1,1,1
51,S100AAMA,2016/3/1,2017/2/28,2017/2/28,0,1,51,1,1,1
52,S100AAFM,2016/3/1,2017/2/28,2017/2/28,1,1,52,1,1,1
53,S100AANT,2016/3/1,2017/2/28,2017/2/28,1,1,53,1,1,1
